method,spearman,roc_auc_bin,avg_precision_bin,mean_top1_hidden_score,mean_top3_hidden_score,top1_high_bin_rate
B0_POSITION_MEAN,0.3944032127268755,0.673,0.7204301360420327,48.12272694496364,53.74024714776363,0.38181818181818183
B1_ALT_GLOBAL,0.18429075737808281,0.613,0.5908036648808768,66.95017037074545,59.310980899903036,0.6363636363636364
CORE_ADDITIVE,0.46364509112727825,0.736,0.7670812341525637,65.63049396523635,59.36471918937576,0.6181818181818182
LIGHTNING_DREAM,0.5250146253656343,0.7549,0.7347615122758644,64.33366959392727,59.64475926522423,0.5818181818181818
