family,budget_percent,router_mode,B3_spearman,V8_3_spearman,delta_spearman_vs_B3,V8_3_top10_mean_percentile,V8_3_top50_mean_percentile,V8_3_top50_top1pct_hits,V8_3_top1_regret
passive,5,GLOBAL_HIGHER_ORDER,0.9123522614147359,0.9172511130321949,0.004898851617458955,0.8916915720263001,0.8784100418410042,2,0.07125018725897728
passive,10,GLOBAL_HIGHER_ORDER,0.9184074249904821,0.9242407281973865,0.005833303206904339,0.9231320980274956,0.895038852361028,6,0.06575591516581099
passive,20,GLOBAL_HIGHER_ORDER,0.9242820747510567,0.933357281941401,0.00907520719034427,0.9192468619246862,0.9054991034070531,7,0.06242681168022312
passive,40,GLOBAL_HIGHER_ORDER,0.9271294976572949,0.9386953823902494,0.011565884732954501,0.9297071129707113,0.9046861924686194,5,0.047573644249083
active,5,GLOBAL_HIGHER_ORDER,0.9123522614147359,0.9172511130321949,0.004898851617458955,0.8916915720263001,0.8784100418410042,2,0.07125018725897728
active,10,GLOBAL_HIGHER_ORDER,0.8401259877510138,0.8559702669639744,0.01584427921296061,0.9182904961147639,0.8903765690376568,4,0.07817118143039399
active,20,GLOBAL_HIGHER_ORDER,0.7537227281162072,0.8082027939116213,0.05448006579541409,0.8767483562462642,0.8639091452480574,3,0.07211167185365527
active,40,B3_PROTECTED_NO_HIGHER_ORDER,0.8598592775711456,0.8598592775711456,0.0,0.8714285714285716,0.8727435744172144,2,0.09932494176155271
