budget_percent,visible_rows,router_mode,B3_spearman,V8_3_spearman,delta_spearman,V8_3_top10_mean_percentile,V8_3_top50_mean_percentile,V8_3_top50_top1pct_hits,V8_3_top1_regret,router_all_no_regression_vs_B3,router_strict_gain_count_vs_B3,spearman_retention_vs_40pct,top10_gap_vs_40pct,top50_gap_vs_40pct,top50_hits_loss_vs_40pct,passes_practical_threshold
5,118,B3_PROTECTED_NO_HIGHER_ORDER,0.5684690276715627,0.5684690276715627,0.0,0.8390740740740741,0.701851851851852,0,0.12694255435522256,True,0,0.7459878560616486,0.003148148148148122,0.11066666666666658,1,False
10,235,B3_PROTECTED_NO_HIGHER_ORDER,0.6785091093514648,0.6785091093514648,0.0,0.7787037037037037,0.7659999999999999,3,0.10684761227433906,True,0,0.8903907357567341,0.06351851851851853,0.046518518518518626,-2,False
20,469,B3_PROTECTED_NO_HIGHER_ORDER,0.6900455000798281,0.6900455000798281,0.0,0.8400000000000001,0.7607407407407407,2,0.11979039816789079,True,0,0.9055296562030973,0.0022222222222221255,0.05177777777777781,-1,False
40,938,B3_PROTECTED_NO_HIGHER_ORDER,0.7620352302686604,0.7620352302686604,0.0,0.8422222222222222,0.8125185185185185,1,0.12979208109555693,True,0,1.0,0.0,0.0,0,True
