cadence,policy,refits_after_bootstrap,max_batch_size,final_best_true_fitness,final_regret,final_top1_hits,acquired_top1_hits_after_bootstrap,first_top1_measurement,post_bootstrap_normalized_discovery_auc,final_scoreable_coverage,final_router_mode,final_visible_b3_oof_spearman
historical_jumps,historical_50_50,2,161,-0.0107773673021224,0.7171982996857076,2,2,322,0.9220247801201522,0.963452566096423,B3_PROTECTED_NO_HIGHER_ORDER,0.515163125923181
micro_32,historical_50_50,8,32,0.7064209323835852,0.0,3,3,273,0.9298428507552281,0.9727838258164853,B3_PROTECTED_NO_HIGHER_ORDER,0.5083651715995537
micro_16,historical_50_50,16,16,0.7064209323835852,0.0,3,3,113,0.9705038053328457,0.9782270606531882,B3_PROTECTED_NO_HIGHER_ORDER,0.4539689568592467
micro_8,historical_50_50,31,8,0.7064209323835852,0.0,5,5,105,0.9765864164602768,0.9782270606531882,B3_PROTECTED_NO_HIGHER_ORDER,0.5402626843418991
micro_4,historical_50_50,61,4,0.7064209323835852,0.0,3,3,193,0.9526458557744208,0.9774494556765163,B3_PROTECTED_NO_HIGHER_ORDER,0.5335251147444585
