budget_percent,visible_rows,router_mode,active_spearman,passive_same_budget_spearman,delta_spearman_vs_passive_same,active_top10_mean_percentile,active_top50_mean_percentile,active_top50_top1pct_hits,active_top1_regret,passes_frozen_passive40_threshold
5,118,B3_PROTECTED_NO_HIGHER_ORDER,0.5684690276715627,0.5684690276715627,0.0,0.8390740740740741,0.701851851851852,0,0.12694255435522256,False
10,235,B3_PROTECTED_NO_HIGHER_ORDER,0.6797136554728316,0.6785091093514648,0.0012045461213667785,0.8231481481481481,0.8055185185185186,2,0.314854607762045,False
20,469,B3_PROTECTED_NO_HIGHER_ORDER,0.7202228631328182,0.6900455000798281,0.030177363052990125,0.8907407407407408,0.8253703703703702,3,0.11979039816789079,True
40,938,B3_PROTECTED_NO_HIGHER_ORDER,0.7445852390135465,0.7620352302686604,-0.017449991255113928,0.8007407407407408,0.8075185185185185,2,0.11979039816789079,False
