baseline,seed_count,target_count,batch_size,final_best_true_fitness,final_regret,final_top1_hits,acquired_top1_hits_after_bootstrap,first_top1_measurement,post_bootstrap_normalized_discovery_auc,final_scoreable_coverage,final_router_mode,final_visible_b3_oof_spearman
deterministic_random,81,322,16,0.3209789125409283,0.38544201984265686,3,3,161,0.947548486388722,0.9696734059097978,B3_PROTECTED_NO_HIGHER_ORDER,0.565387043630301
greedy_v83,81,322,16,0.3082915435500567,0.39812938883352844,5,5,225,0.9373918738163654,0.9237947122861586,B3_PROTECTED_NO_HIGHER_ORDER,0.45093570266704597
exploration_only,81,322,16,0.3082915435500567,0.39812938883352844,2,2,97,0.9631908030687623,0.9852255054432348,B3_PROTECTED_NO_HIGHER_ORDER,0.646291434300789
historical_50_50,81,322,16,0.7064209323835852,0.0,3,3,113,0.9705038053328457,0.9782270606531882,B3_PROTECTED_NO_HIGHER_ORDER,0.4539689568592467
static_initial_v83,81,322,16,0.1080629537125374,0.5983579786710478,2,2,225,0.9310710099432862,0.9276827371695179,B3_PROTECTED_NO_HIGHER_ORDER,0.633957135111364
