method,coverage,n_predictions,spearman,roc_auc_bin,avg_precision_bin,base_positive_rate,mean_top1_hidden_score,mean_top3_hidden_score,mean_top5_hidden_score,top1_positive_rate,top3_positive_rate,top5_positive_rate,top1_enrichment_vs_base,top3_enrichment_vs_base,top5_enrichment_vs_base,median_best_hidden_rank,mean_best_hidden_rank,hit_best_at1,hit_best_at3,hit_best_at5,mean_top1_regret,group_count
B0_GLOBAL_MEAN,1.0,200,-0.05933729416990871,0.52815,0.5164374694388484,0.5,49.967520292672724,56.140091928103026,54.985129437754544,0.43636363636363634,0.5030303030303029,0.5,0.8727272727272727,1.0060606060606059,1.0,2.0,2.272727272727273,0.23636363636363636,0.8909090909090909,1.0,37.13950833441818,55
B1_A4_CORE_POSITION,1.0,200,0.3944032127268755,0.673,0.7204301360420327,0.5,49.967520292672724,56.140091928103026,54.985129437754544,0.43636363636363634,0.5030303030303029,0.5,0.8727272727272727,1.0060606060606059,1.0,2.0,2.272727272727273,0.23636363636363636,0.8909090909090909,1.0,37.13950833441818,55
B1_ALT_GLOBAL_REFERENCE,1.0,200,0.18429075737808281,0.613,0.5908036648808768,0.5,66.95017037074545,59.31098089990303,54.985129437754544,0.6363636363636364,0.5454545454545454,0.5,1.2727272727272727,1.0909090909090908,1.0,2.0,2.018181818181818,0.41818181818181815,0.9636363636363636,1.0,20.156858256345455,55
B2_A4_PLUS_MEMORY,1.0,200,0.46364509112727825,0.736,0.7670812341525637,0.5,65.63049396523637,59.364719189375755,54.985129437754544,0.6181818181818182,0.5515151515151515,0.5,1.2363636363636363,1.103030303030303,1.0,2.0,2.0727272727272728,0.38181818181818183,0.9636363636363636,1.0,21.476534661854547,55
B3_PLUS_RELATIVE_RESONANCE,1.0,200,0.5250146253656343,0.7549,0.7347615122758644,0.5,64.33366959392727,59.644759265224245,54.985129437754544,0.5818181818181818,0.5515151515151515,0.5,1.1636363636363636,1.103030303030303,1.0,2.0,1.9636363636363636,0.36363636363636365,0.9818181818181818,1.0,22.773359033163636,55
B4_DREAM_WARM_ONLY,0.985,197,0.5300079422631998,0.757319587628866,0.7428296027238463,0.5076142131979695,64.20067019956363,59.67661654916364,55.11194154951212,0.5818181818181818,0.5545454545454546,0.5045454545454545,1.1461818181818182,1.0924545454545456,0.9939545454545454,2.0,1.9090909090909092,0.38181818181818183,0.9818181818181818,1.0,22.748629504436366,55
B5_FULL_DREAM_DORMANT,1.0,200,0.5250146253656343,0.7549,0.7347615122758644,0.5,64.33366959392727,59.644759265224245,54.985129437754544,0.5818181818181818,0.5515151515151515,0.5,1.1636363636363636,1.103030303030303,1.0,2.0,1.9636363636363636,0.36363636363636365,0.9818181818181818,1.0,22.773359033163636,55
