component,before,after,delta_coverage,delta_spearman,delta_auc,delta_ap,delta_top1_score,delta_top3_score,delta_top5_score,delta_hit_best_at3,delta_top1_regret
CORE_CONTEXT,B0_GLOBAL_MEAN,B1_A4_CORE_POSITION,0.0,0.45374050689678425,0.14485000000000003,0.20399266660318427,0.0,0.0,0.0,0.0,0.0
MEMORY,B1_A4_CORE_POSITION,B2_A4_PLUS_MEMORY,0.0,0.06924187840040275,0.06299999999999994,0.04665109811053103,15.662973672563645,3.2246272612727296,0.0,0.07272727272727275,-15.662973672563634
RELATIVE_RESONANCE,B2_A4_PLUS_MEMORY,B3_PLUS_RELATIVE_RESONANCE,0.0,0.061369534238356005,0.018900000000000028,-0.03231972187669929,-1.2968243713090999,0.2800400758484898,0.0,0.018181818181818188,1.2968243713090892
DREAM_WARM_FILTER,B3_PLUS_RELATIVE_RESONANCE,B4_DREAM_WARM_ONLY,-0.015000000000000013,0.004993316897565547,0.00241958762886596,0.008068090447981957,-0.13299939436363672,0.03185728393939513,0.12681211175757312,0.0,-0.024729528727270633
DORMANT_RETENTION,B4_DREAM_WARM_ONLY,B5_FULL_DREAM_DORMANT,0.015000000000000013,-0.004993316897565547,-0.00241958762886596,-0.008068090447981957,0.13299939436363672,-0.03185728393939513,-0.12681211175757312,0.0,0.024729528727270633
