dataset,arm,spearman,top1_percentile,top5_mean_percentile,top10_mean_percentile,top50_mean_percentile,top10_top1pct_hits,top50_top1pct_hits,top50_top1pct_enrichment,top50_mean_true_score,normalized_top1_regret,delta_spearman_vs_B3,delta_top5_pct_vs_B3,delta_top50_pct_vs_B3,delta_top50_hits_vs_B3,delta_top50_true_vs_B3,top50_overlap_with_B3,top50_replacement_gain_true,mean_abs_rank_shift
PHOT_CHLRE_Chen_2023,B3_RAW_PAIR,0.8995114808552996,0.9991656734207389,0.9921096543504172,0.9887246722288439,0.9392228843861742,6,10,20.0,1.2469178971880313,0.004679025311220415,0.0,0.0,0.0,0,0.0,50,,0.0
PHOT_CHLRE_Chen_2023,B4_CROSSFIT_TRIPLET,0.9051140897757971,0.9991656734207389,0.9921096543504172,0.9896066746126341,0.9398522050059595,6,9,18.0,1.2444041347860344,0.004679025311220415,0.005602608920497465,0.0,0.0006293206197852674,-1,-0.002513762401996855,46,-0.03142203002495947,74.27222884386174
PHOT_CHLRE_Chen_2023,B5_CROSSFIT_ADAPTIVE_HIGHER_ORDER,0.9111886330880923,0.9991656734207389,0.9936829558998808,0.9896066746126341,0.955284862932062,6,11,22.0,1.2646807531478503,0.004679025311220415,0.011677152232792642,0.0015733015494635572,0.016061978545887867,1,0.01776285595981908,40,0.08881427979909495,142.8786650774732
PHOT_CHLRE_Chen_2023,T_QUARTER_HIGHER_ORDER,0.9038803866313591,0.9991656734207389,0.9921096543504172,0.9887246722288439,0.9386698450536354,6,9,18.0,1.2413346675199914,0.004679025311220415,0.0043689057760594174,0.0,-0.0005530393325388072,-1,-0.005583229668039813,48,-0.139580741700996,29.300595947556616
PHOT_CHLRE_Chen_2023,T_HALF_HIGHER_ORDER,0.9076296872483354,0.9991656734207389,0.9921096543504172,0.9896066746126341,0.939871275327771,6,9,18.0,1.2444189921884083,0.004679025311220415,0.008118206393035732,0.0,0.0006483909415968547,-1,-0.0024989049996229085,46,-0.031236312495284135,62.315137067938025
PHOT_CHLRE_Chen_2023,T_THREE_QUARTER_HIGHER_ORDER,0.9103227465672007,0.9991656734207389,0.9921096543504172,0.9896066746126341,0.9560858164481525,6,11,22.0,1.2657542953985077,0.004679025311220415,0.010811265711901052,0.0,0.01686293206197831,1,0.018836398210476446,41,0.10464665672486828,99.85840286054827
PHOT_CHLRE_Chen_2023,T_CONFIDENCE_SQUARED,0.910032209342745,0.9991656734207389,0.9921096543504172,0.9896066746126341,0.9552848629320618,6,11,22.0,1.2646807531478503,0.004679025311220415,0.010520728487445341,0.0,0.016061978545887645,1,0.01776285595981908,40,0.08881427979909495,117.3554231227652
PHOT_CHLRE_Chen_2023,T_ELITE_10PCT_HIGHER_ORDER,0.8917042163505619,0.9991656734207389,0.9936829558998808,0.9896066746126341,0.9498450536352802,6,11,22.0,1.2588307137578287,0.004679025311220415,-0.0078072645047377875,0.0015733015494635572,0.010622169249105973,1,0.01191281656979748,39,0.05414916622635224,77.48128724672229
PHOT_CHLRE_Chen_2023,T_ELITE_20PCT_HIGHER_ORDER,0.885671824373811,0.9991656734207389,0.9936829558998808,0.9896066746126341,0.955284862932062,6,11,22.0,1.2646807531478503,0.004679025311220415,-0.01383965648148866,0.0015733015494635572,0.016061978545887867,1,0.01776285595981908,40,0.08881427979909495,127.1756853396901
PHOT_CHLRE_Chen_2023,T_ELITE_30PCT_HIGHER_ORDER,0.8869485972579128,0.9991656734207389,0.9936829558998808,0.9896066746126341,0.955284862932062,6,11,22.0,1.2646807531478503,0.004679025311220415,-0.012562883597386887,0.0015733015494635572,0.016061978545887867,1,0.01776285595981908,40,0.08881427979909495,153.89082240762812
